"datestringUTC", "T_min", "lat", "lon"
"29-Jan-2020 13:58:00", 25.0248, 13.5728, -56.9161
"30-Jan-2020 14:28:00", 26.3409, 14.0529, -54.7456
"30-Jan-2020 17:57:00", 25.8632, 14.0824, -54.6373
"03-Feb-2020 14:41:00", 25.4562, 13.9004, -54.5001
"04-Feb-2020 19:55:00", 26.6058, 12.8153, -59.5732
"07-Feb-2020 02:54:00", 25.9636, 13.2582, -57.8294
"07-Feb-2020 06:35:00", 25.2606, 13.3760, -57.2147
"07-Feb-2020 08:23:00", 24.7924, 13.4310, -56.9259
"07-Feb-2020 13:12:00", 22.9097, 13.5708, -56.1449
"07-Feb-2020 13:52:00", 24.1144, 13.5659, -56.0346
"07-Feb-2020 14:10:00", 23.7061, 13.5785, -55.9914
"08-Feb-2020 08:21:00", 24.6435, 14.0035, -54.4327
"08-Feb-2020 10:36:00", 24.1756, 14.0539, -54.2626
"08-Feb-2020 12:21:00", 24.9241, 14.0451, -54.2526
"08-Feb-2020 12:43:00", 25.0413, 14.0479, -54.2520
"08-Feb-2020 14:40:00", 25.4925, 13.9584, -54.5577
"08-Feb-2020 15:16:00", 25.4583, 13.9263, -54.6494
"08-Feb-2020 18:05:00", 25.6160, 13.8506, -54.8609
"08-Feb-2020 22:30:00", 25.4914, 13.8499, -54.8603
"09-Feb-2020 16:13:00", 25.7425, 13.8502, -54.8615
"10-Feb-2020 13:42:00", 25.0379, 14.1261, -55.0581
"10-Feb-2020 16:20:00", 23.1932, 14.3382, -55.2590
